Metric,Value
Project Name,Mobile App Development
Iterations,100
Random Seed,42

Statistics,
Mean,113.77
Median,112.05
Std Dev,14.83
Min,84.30
Max,151.04
Coefficient of Variation,0.1304

Percentiles,
P50,112.05
P75,123.45
P80,126.15
P85,129.58
P90,133.61
P95,141.24

Critical Path,Criticality
setup_backend,1.0000
api_development,1.0000
mobile_app_dev,1.0000
integration_testing,1.0000
deployment,1.0000
design_ui,0.0000

Histogram Data,
Bin Edge (days),Count,Cumulative %
85.63,1,1.00
86.97,0,1.00
88.30,1,2.00
89.64,1,3.00
90.97,1,4.00
92.31,3,7.00
93.64,0,7.00
94.98,1,8.00
96.31,3,11.00
97.65,4,15.00
98.98,2,17.00
100.32,3,20.00
101.65,2,22.00
102.99,3,25.00
104.32,5,30.00
105.66,6,36.00
106.99,2,38.00
108.33,1,39.00
109.66,6,45.00
110.99,1,46.00
112.33,4,50.00
113.66,3,53.00
115.00,3,56.00
116.33,4,60.00
117.67,2,62.00
119.00,3,65.00
120.34,2,67.00
121.67,1,68.00
123.01,6,74.00
124.34,1,75.00
125.68,4,79.00
127.01,2,81.00
128.35,2,83.00
129.68,2,85.00
131.02,1,86.00
132.35,2,88.00
133.69,3,91.00
135.02,1,92.00
136.36,0,92.00
137.69,1,93.00
139.03,1,94.00
140.36,0,94.00
141.70,1,95.00
143.03,1,96.00
144.37,0,96.00
145.70,1,97.00
147.04,0,97.00
148.37,1,98.00
149.71,1,99.00
151.04,1,100.00
